CODIGO_UPGRADE;EQUIPAMENTO1;ANTIGO1;NOVO1;EQUIPAMENTO2;ANTIGO2;NOVO2;EQUIPAMENTO3;ANTIGO3;NOVO3;EQUIPAMENTO4;ANTIGO4;NOVO4;EQUIPAMENTO5;ANTIGO5;NOVO5;EQUIPAMENTO6;ANTIGO6;NOVO6;EQUIPAMENTO7;ANTIGO7;NOVO7;EQUIPAMENTO8;ANTIGO8;NOVO8;EQUIPAMENTO9;ANTIGO9;NOVO9
220;AMPLIFICADOR;-;LE/1;ACOPLADOR;-;DC8/1;TAP;8/24/600;8/15/1;;;;;;;;;;;;;;;;;;
221;TAP;8/24/600;8/12/1;;;;;;;;;;;;;;;;;;;;;;;;
222;ACOPLADOR;DC8/600;DC12/1;TAP;8/24/600;8/18/1;;;;;;;;;;;;;;;;;;;;;
223;AMPLIFICADOR;LE/600;-;ACOPLADOR;DC8/600;-;TAP;4/23/600;-;TAP;2/8/600;8/21/1;;;;;;;;;;;;;;;
224;AMPLIFICADOR;-;HGD/1;TAP;8/15/600;8/21/1;;;;;;;;;;;;;;;;;;;;;
225;TAP;4/11/600;4/14/1;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;
226;TAP;2/17/600;2/20/1;TAP;8/15/600;8/18/1;;;;;;;;;;;;;;;;;;;;;
227;TAP;8/15/600;8/18/1;;;;;;;;;;;;;;;;;;;;;;;;
228;TAP;4/17/600;4/20/1;;;;;;;;;;;;;;;;;;;;;;;;
229;ACOPLADOR;-;DC12/1;TAP;4/20/600;4/23/1;;;;;;;;;;;;;;;;;;;;;
230;AMPLIFICADOR;LE/600;HGD/1;;;;;;;;;;;;;;;;;;;;;;;;
231;TAP;2/17/600;2/11/1;;;;;;;;;;;;;;;;;;;;;;;;
232;TAP;8/21/600;8/18/1;;;;;;;;;;;;;;;;;;;;;;;;
233;TAP;4/23/600;4/20/1;;;;;;;;;;;;;;;;;;;;;;;;
234;TAP;4/11/600;4/8/1;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;
293;AMPLIFICADOR;LE/600;LE/1;;;;;;;;;;;;;;;;;;;;;;;;
280;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;;;;
272;TAP;8/15/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
266;TAP;2/8/600;2/4/1;;;;;;;;;;;;;;;;;;;;;;;;
254;TAP;4/23/600;4/20/1;;;;;;;;;;;;;;;;;;;;;;;;
